[Thu Jul  6 23:24:36 2023] ThreadID[39412]	Start Program.
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[MESSAGE]	Begin Reading Game Level Text File.
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Archery_SecondAge_Level3
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Location: X 4.604200 Y 0.000000 Z -1.266500
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Barracks_SecondAge_Level3
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Location: X 0.949600 Y 0.000000 Z 9.892100
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Farm_SecondAge_Level3
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Location: X 4.812300 Y 0.000000 Z 3.161400
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Farm_SecondAge_Level3_Wheat
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Location: X 4.838800 Y 0.000000 Z 3.153600
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Houses_SecondAge_3_Level1
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Location: X 4.837600 Y -0.000000 Z 8.649200
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Houses_SecondAge_3_Level2
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Location: X -3.299200 Y 0.000000 Z 5.352400
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Houses_SecondAge_3_Level3
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Location: X 4.447600 Y 0.000000 Z 6.104400
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Market_FirstAge_Level3
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Location: X -2.707600 Y 0.000000 Z 8.114300
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_1
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Location: X 16.401600 Y 0.000000 Z 14.985800
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Mountain_Group_2
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Location: X 17.352301 Y 0.000000 Z -7.168500
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Port_FirstAge_Level1
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Location: X 8.331700 Y 0.000000 Z -11.760400
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Storage_SecondAge_Level1
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Location: X 2.740000 Y 0.000000 Z 2.124800
[Thu Jul  6 23:24:36 2023] ThreadID[39412]	[INFO]	Model Detected: Temple_FirstAge_Level3
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X -2.698300 Y -0.000000 Z 3.751400
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: TowerHouse_SecondAge
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 2.971600 Y 0.000000 Z 4.040300
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: TownCenter_SecondAge_Level3
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X -0.238600 Y 0.000000 Z 3.749700
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: WallTowers_SecondAge
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 6.196100 Y 0.000000 Z 8.313600
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: WatchTower_SecondAge_Level3
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 6.307900 Y 0.000000 Z 5.875300
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Windmill_SecondAge
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 4.370700 Y 0.000000 Z 0.943100
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Wonder_SecondAge_Level3
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 0.212000 Y 0.000000 Z -0.948500
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Plane
